,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
730,2015-07-10,154.74,155.86,154.5,154.95,2061321.0,MMM
731,2015-07-13,156.42,156.77,155.65,156.47,2107208.0,MMM
732,2015-07-14,156.49,157.08,156.28,156.78,1812274.0,MMM
733,2015-07-15,156.57,157.0,155.9,156.0,1786207.0,MMM
734,2015-07-16,157.58,157.94,156.69,157.17,2023869.0,MMM
735,2015-07-17,156.5,157.37,156.43,156.69,2429011.0,MMM
736,2015-07-20,156.77,157.65,156.27,157.12,2349130.0,MMM
737,2015-07-21,156.75,157.18,155.34,155.76,2743931.0,MMM
738,2015-07-22,155.59,156.31,154.44,155.41,3067734.0,MMM
739,2015-07-23,151.92,153.69,149.02,149.5,5176373.0,MMM
740,2015-07-24,148.86,150.8,148.7,149.33,3433648.0,MMM
741,2015-07-27,148.64,149.0,147.7,148.71,3117558.0,MMM
742,2015-07-28,148.85,151.72,148.32,151.11,3277739.0,MMM
743,2015-07-29,151.44,151.69,150.71,151.45,2176889.0,MMM
744,2015-07-30,151.0,151.73,150.33,151.57,2120011.0,MMM
745,2015-07-31,152.53,152.81,151.03,151.34,1619622.0,MMM
746,2015-08-03,150.79,151.78,148.94,150.12,2355658.0,MMM
747,2015-08-04,150.93,151.54,150.11,150.4,1811933.0,MMM
748,2015-08-05,151.85,153.24,150.92,151.01,1765640.0,MMM
749,2015-08-06,150.89,151.22,148.9,149.26,1764818.0,MMM
750,2015-08-07,148.48,150.0,148.16,148.89,1669711.0,MMM
751,2015-08-10,150.0,151.4,149.89,151.24,1571784.0,MMM
752,2015-08-11,150.0,150.0,148.26,148.48,1810785.0,MMM
753,2015-08-12,147.24,148.71,146.07,148.52,2054319.0,MMM
754,2015-08-13,148.0,148.56,147.08,147.4,1793138.0,MMM
755,2015-08-14,147.66,148.51,147.32,148.28,1401860.0,MMM
756,2015-08-17,147.43,149.31,146.36,149.24,1648944.0,MMM
757,2015-08-18,148.63,148.92,147.88,148.31,1706387.0,MMM
758,2015-08-19,146.2,147.55,145.28,145.87,2525741.0,MMM
759,2015-08-20,144.51,144.87,143.34,143.35,3278772.0,MMM
760,2015-08-21,143.52,145.32,141.92,142.09,5437818.0,MMM
761,2015-08-24,137.12,142.09,134.0,138.58,7269995.0,MMM
762,2015-08-25,141.86,142.06,137.39,137.64,5423863.0,MMM
763,2015-08-26,140.0,142.79,138.53,142.72,4556569.0,MMM
764,2015-08-27,143.75,144.95,141.33,143.9,4088014.0,MMM
765,2015-08-28,143.02,144.32,142.8,144.21,2664233.0,MMM
766,2015-08-31,143.0,143.83,142.02,142.14,2506948.0,MMM
767,2015-09-01,139.48,140.49,137.94,138.5,3660104.0,MMM
768,2015-09-02,140.54,141.24,139.24,141.24,3295236.0,MMM
769,2015-09-03,141.94,142.9,141.31,141.74,2589127.0,MMM
770,2015-09-04,139.94,140.67,139.16,139.84,3189712.0,MMM
771,2015-09-08,142.05,143.55,141.52,143.43,2422406.0,MMM
772,2015-09-09,144.86,145.35,140.57,140.86,2630717.0,MMM
773,2015-09-10,141.0,141.91,140.15,140.78,2026675.0,MMM
774,2015-09-11,140.61,141.33,139.77,141.26,2505184.0,MMM
775,2015-09-14,141.52,141.58,140.03,140.81,2277064.0,MMM
776,2015-09-15,141.56,143.84,141.04,143.6,2688739.0,MMM
777,2015-09-16,143.51,144.46,143.21,144.2,2060453.0,MMM
778,2015-09-17,143.81,145.55,142.52,142.95,2824591.0,MMM
779,2015-09-18,141.17,141.3,139.21,139.62,6513260.0,MMM
